,symboling,normalized-losses,make,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas
0,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.31666666666666643,0.08333333333333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,13495,11.19047619047619,8.703703703703704,Low,False,True
1,3,122,alfa-romero,std,two,convertible,rwd,front,88.6,0.4134328358208958,0.31666666666666643,0.08333333333333333,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000,21,16500,11.19047619047619,8.703703703703704,Low,False,True
2,1,122,alfa-romero,std,two,hatchback,rwd,front,94.5,0.4492537313432835,0.43333333333333357,0.38333333333333347,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000,19,16500,12.368421052631579,9.038461538461538,Medium,False,True
3,2,164,audi,std,four,sedan,fwd,front,99.8,0.5298507462686567,0.49166666666666714,0.5416666666666666,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500,24,13950,9.791666666666666,7.833333333333333,Low,False,True
4,2,164,audi,std,four,sedan,4wd,front,99.4,0.5298507462686567,0.5083333333333341,0.5416666666666666,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500,18,17450,13.055555555555555,10.681818181818182,Low,False,True
5,2,122,audi,std,two,sedan,fwd,front,99.8,0.5402985074626868,0.5,0.44166666666666704,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,15250,12.368421052631579,9.4,Low,False,True
6,1,158,audi,std,four,sedan,fwd,front,105.8,0.7701492537313432,0.9250000000000007,0.6583333333333338,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,17710,12.368421052631579,9.4,Low,False,True
7,1,122,audi,std,four,wagon,fwd,front,105.8,0.7701492537313432,0.9250000000000007,0.6583333333333338,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,18920,12.368421052631579,9.4,Low,False,True
8,1,158,audi,turbo,four,sedan,fwd,front,105.8,0.7701492537313432,0.9250000000000007,0.6750000000000002,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500,17,23875,13.823529411764707,11.75,Medium,False,True
9,0,122,audi,turbo,two,hatchback,4wd,front,99.5,0.553731343283582,0.6333333333333341,0.35000000000000026,3053,ohc,five,131,mpfi,3.13,3.4,7.0,160,5500,16,,14.6875,10.681818181818182,Medium,False,True
